username,prize,points,rarity

joaog,duck,25,Common
joaog,duck,100,Rare
joaog,duck,25,Common
joaog,duck,100,Rare
joaog,duck,100,Rare
joaog,duck,25,Common
joaog,duck,150,Super rare
joaog,duck,100,Rare
joaog,duck,25,Common
joaog,duck,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,bear,150,Super rare
joaog,dog,100,Rare
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,bear,150,Super rare
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,bear,150,Super rare
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,bear,150,Super rare
joaog,duck,25,Common
joaog,bear,150,Super rare
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,bear,150,Super rare
joaog,dog,100,Rare
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,bear,150,Super rare
joaog,dog,100,Rare
joaog,bear,150,Super rare
joaog,dog,100,Rare
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,duck,25,Common
joaog,duck,25,Common
joaog,duck,25,Common
joaog,dog,100,Rare
joaog,dog,100,Rare
